gene	lv1	lv2	rv1	rv2	genelength
Olfr130	0	0	0	0	953
Olfr725	0	0	0	0	1109
Gab1	2097	2412	12273	14001	4849
Mrgprb2	0	0	0	0	2074
Coil	332	309	1473	1725	2600
1700109H08Rik	11	17	74	164	709
Tmc8	123	164	675	770	2891
Gpr50	6	0	6	7	1799
Carns1	53	63	384	431	3958
Dot1l	1802	2191	11612	16977	5666
9330175E14Rik	0	0	0	0	1535
1810029B16Rik	105	86	501	592	1081
Cpne7	11	14	15	32	2390
0610007P08Rik	298	337	1731	2428	6025
Pebp1	1040	858	1820	1907	1178
Gal3st2	0	0	0	2	2842
4932441B19Rik	0	0	0	0	3386
Prpf40a	1856	1877	6839	8574	3539
Vmn1r195	0	0	0	0	1087
Bet1l	483	364	1850	2252	1548
Nxph3	25	25	64	92	2091
Mtfr1	417	381	1629	1924	3089
Apeh	865	699	3864	4625	2369
Man2b1	741	869	4398	4875	4301
Racgap1	1842	1547	7632	8733	3046
Ccnb3	15	12	74	115	4540
Ehhadh	51	68	265	373	3003
Slc16a10	440	394	2028	2482	6550
4921511C20Rik	0	0	0	0	1605
Cytip	2	8	4	1	5727
2210009G21Rik	67	81	385	401	3101
Ggt1	3	9	29	55	2009
Tfap4	223	232	970	1201	2106
Dpm1	501	499	1353	1727	2284
Zfp839	117	110	713	1049	3717
Olfr568	0	0	0	0	941
Ndel1	881	847	3682	4501	2356
Rnf170	36	24	162	254	3907
